fy,month,year,ministry,allocated,designated
2016-2017,Jul,2017,Southwestern Seminary,623650.89,3382.34
2016-2017,Jul,2017,Historical Library and Archives,36743.95,253.37
2016-2017,Jul,2017,Ethics & Religious Liberty Comm,252614.66,791.05
2016-2017,Jul,2017,GuideStone Financial Resources,0.0,897.79
2016-2017,Jul,2017,Executive Committee and SBC Operating,457768.4,18880.02
2016-2017,Jul,2017,Miscellaneous,0.0,0.0
2016-2017,Aug,2017,International Mission Board,7576765.04,2402490.69
2016-2017,Aug,2017,North American Mission Board,3425401.21,3125735.87
2016-2017,Aug,2017,Gateway Seminary,323477.43,995.33
2016-2017,Aug,2017,Midwestern Seminary,398560.93,925.25
2016-2017,Aug,2017,New Orleans Seminary,574017.83,1276.66
2016-2017,Aug,2017,Southeastern Seminary,627203.47,1727.68
2016-2017,Aug,2017,Southern Seminary,759120.68,3108.22
2016-2017,Aug,2017,Southwestern Seminary,612257.4,1817.8
2016-2017,Aug,2017,Historical Library and Archives,36072.68,52.71
2016-2017,Aug,2017,Ethics & Religious Liberty Comm,247999.65,2127.6
2016-2017,Aug,2017,GuideStone Financial Resources,0.0,3694.8
2016-2017,Aug,2017,Executive Committee and SBC Operating,449405.43,16984.05
2016-2017,Aug,2017,Miscellaneous,0.0,0.0
2016-2017,Sep,2017,International Mission Board,7785076.41,2592587.97
2016-2017,Sep,2017,North American Mission Board,3501181.31,1923702.27
2016-2017,Sep,2017,NAMB - Disaster Relief,1250000.0,0.0
2016-2017,Sep,2017,Gateway Seminary,330483.96,1193.5
2016-2017,Sep,2017,Midwestern Seminary,407259.69,1156.63
2016-2017,Sep,2017,New Orleans Seminary,586780.57,1649.31
2016-2017,Sep,2017,Southeastern Seminary,640876.87,6659.89
2016-2017,Sep,2017,Southern Seminary,776562.4,4882.02
2016-2017,Sep,2017,Southwestern Seminary,625561.5,7003.94
2016-2017,Sep,2017,Historical Library and Archives,36870.7,46.54
2016-2017,Sep,2017,Ethics & Religious Liberty Comm,253486.14,478.75
2016-2017,Sep,2017,GuideStone Financial Resources,0.0,3419.72
2016-2017,Sep,2017,Executive Committee and SBC Operating,418656.91,17687.39
2016-2017,Sep,2017,Miscellaneous,0.0,0.0
2015-2016,Oct,2015,International Mission Board,8090018.56,2192753.41
2015-2016,Oct,2015,North American Mission Board,3657439.45,1152906.73
2015-2016,Oct,2015,Southwestern Seminary,676635.53,3375.94
2015-2016,Oct,2015,Southern Seminary,797794.97,3611.62
2015-2016,Oct,2015,New Orleans Seminary,622936.93,2263.76
2015-2016,Oct,2015,Southeastern Seminary,687020.63,3709.84
2015-2016,Oct,2015,Golden Gate Seminary,335662.89,1964.82
2015-2016,Oct,2015,Midwestern Seminary,397767.09,1846.2
2015-2016,Oct,2015,Historical Library and Archives,38516.26,50.54
2015-2016,Oct,2015,Ethics & Religious Liberty Comm,264799.26,784.69
2015-2016,Oct,2015,GuideStone Financial Resources,0.0,2668.21
2015-2016,Oct,2015,SBC Operating,479848.35,30823.87
2015-2016,Oct,2015,Miscellaneous,0.0,0.0
2015-2016,Nov,2015,International Mission Board,7946979.89,2653758.79
2015-2016,Nov,2015,North American Mission Board,3592772.71,1131960.71
2015-2016,Nov,2015,Southwestern Seminary,664672.02,1980.73
2015-2016,Nov,2015,Southern Seminary,783689.26,4143.45
2015-2016,Nov,2015,New Orleans Seminary,611922.86,2241.87
2015-2016,Nov,2015,Southeastern Seminary,674873.51,1495.04
2015-2016,Nov,2015,Golden Gate Seminary,329728.07,985.13
2015-2016,Nov,2015,Midwestern Seminary,390734.21,901.2
2015-2016,Nov,2015,Historical Library and Archives,37835.25,44.42
2015-2016,Nov,2015,Ethics & Religious Liberty Comm,260117.38,674.88
2015-2016,Nov,2015,GuideStone Financial Resources,0.0,680.64
2015-2016,Nov,2015,SBC Operating,471364.21,30024.6
2015-2016,Nov,2015,Miscellaneous,0.0,0.0
2015-2016,Dec,2015,International Mission Board,7031642.11,2791368.74
2015-2016,Dec,2015,North American Mission Board,3178955.05,892404.34
2015-2016,Dec,2015,Southwestern Seminary,588114.7,3027.57
2015-2016,Dec,2015,Southern Seminary,693423.47,3046.32
2015-2016,Dec,2015,New Orleans Seminary,541441.24,2859.71
2015-2016,Dec,2015,Southeastern Seminary,597141.18,7852.27
2015-2016,Dec,2015,Golden Gate Seminary,291749.8,1866.58
2015-2016,Dec,2015,Midwestern Seminary,345729.2,1803.12
2015-2016,Dec,2015,Historical Library and Archives,33477.37,37.65
2015-2016,Dec,2015,Ethics & Religious Liberty Comm,230156.91,593.61
2015-2016,Dec,2015,GuideStone Financial Resources,0.0,3514.25
2015-2016,Dec,2015,SBC Operating,417072.21,40440.93
2015-2016,Dec,2015,Miscellaneous,0.0,0.0
2015-2016,Jan,2016,International Mission Board,10171058.92,28996480.53
2015-2016,Jan,2016,North American Mission Board,4598262.92,2227347.76
2015-2016,Jan,2016,Southwestern Seminary,850690.25,3250.83
2015-2016,Jan,2016,Southern Seminary,1003016.19,3414.09
2015-2016,Jan,2016,New Orleans Seminary,783178.45,1712.98
2015-2016,Jan,2016,Southeastern Seminary,863746.77,4147.8
2015-2016,Jan,2016,Golden Gate Seminary,422007.31,1284.79
2015-2016,Jan,2016,Midwestern Seminary,500086.93,1059.95
2015-2016,Jan,2016,Historical Library and Archives,48424.01,72.28
2015-2016,Jan,2016,Ethics & Religious Liberty Comm,332915.05,1363.13
2015-2016,Jan,2016,GuideStone Financial Resources,0.0,5685.82
2015-2016,Jan,2016,SBC Operating,603282.41,30244.77
2015-2016,Jan,2016,Miscellaneous,0.0,0.0
2015-2016,Feb,2016,International Mission Board,8748583.82,52559530.04
2015-2016,Feb,2016,North American Mission Board,3955172.1,2566539.19
2015-2016,Feb,2016,Southwestern Seminary,731716.82,2003.14
2015-2016,Feb,2016,Southern Seminary,862739.2,3244.08
2015-2016,Feb,2016,New Orleans Seminary,673646.91,1135.66
2015-2016,Feb,2016,Southeastern Seminary,742947.31,3612.19
2015-2016,Feb,2016,Golden Gate Seminary,362987.41,1072.59
2015-2016,Feb,2016,Midwestern Seminary,430147.18,1194.96
2015-2016,Feb,2016,Historical Library and Archives,41651.67,51.18
2015-2016,Feb,2016,Ethics & Religious Liberty Comm,286355.16,353.27
2015-2016,Feb,2016,GuideStone Financial Resources,0.0,1016.42
2015-2016,Feb,2016,SBC Operating,518910.25,21374.5
2015-2016,Feb,2016,Miscellaneous,0.0,0.0
2015-2016,Mar,2016,International Mission Board,8076829.6,30028730.87
2015-2016,Mar,2016,North American Mission Board,3651476.82,1626677.0
2015-2016,Mar,2016,Southwestern Seminary,675532.43,3354.26
2015-2016,Mar,2016,Southern Seminary,796494.35,4080.74
2015-2016,Mar,2016,New Orleans Seminary,621921.37,2438.05
2015-2016,Mar,2016,Southeastern Seminary,685900.59,4283.52
2015-2016,Mar,2016,Golden Gate Seminary,335115.66,2237.96
2015-2016,Mar,2016,Midwestern Seminary,397118.61,2058.73
2015-2016,Mar,2016,Historical Library and Archives,38453.47,51.86
2015-2016,Mar,2016,Ethics & Religious Liberty Comm,264367.56,943.09
2015-2016,Mar,2016,GuideStone Financial Resources,0.0,1185.05
2015-2016,Mar,2016,SBC Operating,479066.06,35098.91
2015-2016,Mar,2016,Miscellaneous,0.0,0.0
2015-2016,Apr,2016,International Mission Board,8312996.27,9427810.63
2015-2016,Apr,2016,North American Mission Board,3758246.07,5248343.04
2015-2016,Apr,2016,Southwestern Seminary,695285.0,1794.96
2015-2016,Apr,2016,Southern Seminary,819783.84,3176.91
2015-2016,Apr,2016,New Orleans Seminary,640106.36,881.99
2015-2016,Apr,2016,Southeastern Seminary,705956.35,2335.36
2015-2016,Apr,2016,Golden Gate Seminary,344914.45,784.73
2015-2016,Apr,2016,Midwestern Seminary,408730.36,586.7
2015-2016,Apr,2016,Historical Library and Archives,39577.84,30.55
2015-2016,Apr,2016,Ethics & Religious Liberty Comm,272097.68,1330.11
2015-2016,Apr,2016,GuideStone Financial Resources,0.0,885.41
2015-2016,Apr,2016,SBC Operating,493073.97,21062.24
2015-2016,Apr,2016,Miscellaneous,0.0,0.0
2015-2016,May,2016,International Mission Board,8141364.52,4811208.61
2015-2016,May,2016,North American Mission Board,3680652.6,21832964.89
2015-2016,May,2016,Southwestern Seminary,680930.03,1996.18
2015-2016,May,2016,Southern Seminary,802858.45,2719.28
2015-2016,May,2016,New Orleans Seminary,626890.61,1351.71
2015-2016,May,2016,Southeastern Seminary,691381.03,2671.08
2015-2016,May,2016,Golden Gate Seminary,337793.28,1061.09
2015-2016,May,2016,Midwestern Seminary,400291.65,901.24
2015-2016,May,2016,Historical Library and Archives,38760.71,58.12
2015-2016,May,2016,Ethics & Religious Liberty Comm,266479.9,599.28
2015-2016,May,2016,GuideStone Financial Resources,0.0,624.53
2015-2016,May,2016,SBC Operating,482893.87,27267.01
2015-2016,May,2016,Miscellaneous,0.0,0.0
2015-2016,Jun,2016,International Mission Board,7672899.06,3972472.95
2015-2016,Jun,2016,North American Mission Board,3468862.7,13391120.27
2015-2016,Jun,2016,Southwestern Seminary,641748.34,3003.38
2015-2016,Jun,2016,Southern Seminary,756660.84,5050.31
2015-2016,Jun,2016,New Orleans Seminary,590818.44,2209.99
2015-2016,Jun,2016,Southeastern Seminary,651598.01,4044.41
2015-2016,Jun,2016,Golden Gate Seminary,318356.18,1948.05
2015-2016,Jun,2016,Midwestern Seminary,377258.29,1744.2
2015-2016,Jun,2016,Historical Library and Archives,36530.36,52.14
2015-2016,Jun,2016,Ethics & Religious Liberty Comm,251146.27,697.3
2015-2016,Jun,2016,GuideStone Financial Resources,0.0,1759.1
2015-2016,Jun,2016,SBC Operating,455107.47,23739.19
2015-2016,Jun,2016,Miscellaneous,0.0,0.0
2015-2016,Jul,2016,International Mission Board,8287090.62,2780223.71
2015-2016,Jul,2016,North American Mission Board,3746534.32,4308903.71
2015-2016,Jul,2016,Southwestern Seminary,693118.3,2555.66
2015-2016,Jul,2016,Southern Seminary,817229.17,6057.99
2015-2016,Jul,2016,New Orleans Seminary,638111.61,1571.0
2015-2016,Jul,2016,Southeastern Seminary,703756.39,4026.65
2015-2016,Jul,2016,Gateway Seminary,343839.61,1120.14
2015-2016,Jul,2016,Midwestern Seminary,407456.64,1121.06
2015-2016,Jul,2016,Historical Library and Archives,39454.5,42.56
2015-2016,Jul,2016,Ethics & Religious Liberty Comm,271249.74,2745.53
2015-2016,Jul,2016,GuideStone Financial Resources,0.0,1095.12
2015-2016,Jul,2016,SBC Operating,491537.4,22694.64
2015-2016,Jul,2016,Miscellaneous,0.0,0.0
2015-2016,Aug,2016,International Mission Board,7835605.48,2724593.52
2015-2016,Aug,2016,North American Mission Board,3542421.12,2174892.98
2015-2016,Aug,2016,Southwestern Seminary,655356.85,2404.45
2015-2016,Aug,2016,Southern Seminary,772706.09,2777.66
2015-2016,Aug,2016,New Orleans Seminary,603346.95,1218.63
2015-2016,Aug,2016,Southeastern Seminary,665415.36,2977.38
2015-2016,Aug,2016,Gateway Seminary,325107.03,908.48
2015-2016,Aug,2016,Midwestern Seminary,385258.18,834.87
2015-2016,Aug,2016,Historical Library and Archives,37304.99,47.82
2015-2016,Aug,2016,Ethics & Religious Liberty Comm,256471.91,899.51
2015-2016,Aug,2016,GuideStone Financial Resources,0.0,4807.85
2015-2016,Aug,2016,SBC Operating,464758.2,18211.89
2015-2016,Aug,2016,Miscellaneous,0.0,0.0
2015-2016,Sep,2016,International Mission Board,8407140.25,2765563.87
2015-2016,Sep,2016,North American Mission Board,3776186.92,1876810.92
2015-2016,Sep,2016,Gateway Seminary,346416.91,1751.35
2015-2016,Sep,2016,Midwestern Seminary,410816.26,1631.35
2015-2016,Sep,2016,New Orleans Seminary,643013.97,2051.01
2015-2016,Sep,2016,Southeastern Seminary,709241.62,2448.82
2015-2016,Sep,2016,Southern Seminary,823589.43,4119.13
2015-2016,Sep,2016,Southwestern Seminary,698954.18,2986.17
2015-2016,Sep,2016,Historical Library and Archives,39766.78,45.94
2015-2016,Sep,2016,Ethics & Religious Liberty Comm,273396.59,732.29
2015-2016,Sep,2016,GuideStone Financial Resources,0.0,2477.19
2015-2016,Sep,2016,Executive Committee and SBC Operating,440967.78,21289.96
2015-2016,Sep,2016,Miscellaneous,0.0,0.0
2014-2015,Oct,2014,International Mission Board,8075269.06,2115993.93
2014-2015,Oct,2014,North American Mission Board,3650771.32,1232805.41
2014-2015,Oct,2014,Southwestern Seminary,702600.25,3506.58
2014-2015,Oct,2014,Southern Seminary,779383.26,6289.48
2014-2015,Oct,2014,New Orleans Seminary,618321.98,2874.62
2014-2015,Oct,2014,Southeastern Seminary,683749.67,2493.95
2014-2015,Oct,2014,Golden Gate Seminary,330801.11,2732.13
2014-2015,Oct,2014,Midwestern Seminary,396548.17,2743.7
2014-2015,Oct,2014,Historical Library and Archives,38446.04,78.23
2014-2015,Oct,2014,Ethics & Religious Liberty Comm,264316.48,956.04
2014-2015,Oct,2014,GuideStone Financial Resources,0.0,1239.48
2014-2015,Oct,2014,SBC Operating,478973.51,31496.6
2014-2015,Oct,2014,Miscellaneous,0.0,0.0
2014-2015,Nov,2014,International Mission Board,8035443.77,2558279.32
2014-2015,Nov,2014,North American Mission Board,3632766.59,1307419.24
2014-2015,Nov,2014,Southwestern Seminary,699135.19,2397.83
2014-2015,Nov,2014,Southern Seminary,775539.53,4030.98
2014-2015,Nov,2014,New Orleans Seminary,615272.56,1734.39
2014-2015,Nov,2014,Southeastern Seminary,680377.6,3203.2
2014-2015,Nov,2014,Golden Gate Seminary,329169.69,1606.43
2014-2015,Nov,2014,Midwestern Seminary,394592.49,1619.07
2014-2015,Nov,2014,Historical Library and Archives,38256.43,40.68
2014-2015,Nov,2014,Ethics & Religious Liberty Comm,263012.93,677.11
2014-2015,Nov,2014,GuideStone Financial Resources,0.0,1461.78
2014-2015,Nov,2014,SBC Operating,476611.33,29751.56
2014-2015,Nov,2014,Miscellaneous,0.0,0.0
2014-2015,Dec,2014,International Mission Board,6671572.87,3035686.92
2014-2015,Dec,2014,North American Mission Board,3016170.3,1080650.23
2014-2015,Dec,2014,Southwestern Seminary,580469.66,3248.12
2014-2015,Dec,2014,Southern Seminary,643905.74,3320.89
2014-2015,Dec,2014,New Orleans Seminary,510841.18,2393.11
2014-2015,Dec,2014,Southeastern Seminary,564895.83,4451.75
2014-2015,Dec,2014,Golden Gate Seminary,273299.08,2288.19
2014-2015,Dec,2014,Midwestern Seminary,327617.57,2303.89
2014-2015,Dec,2014,Historical Library and Archives,31763.08,37.76
2014-2015,Dec,2014,Ethics & Religious Liberty Comm,218371.26,678.08
2014-2015,Dec,2014,GuideStone Financial Resources,0.0,3413.87
2014-2015,Dec,2014,SBC Operating,395715.18,27303.36
2014-2015,Dec,2014,Miscellaneous,0.0,0.0
2014-2015,Jan,2015,International Mission Board,9834010.57,25804156.99
2014-2015,Jan,2015,North American Mission Board,4445885.74,2097960.72
2014-2015,Jan,2015,Southwestern Seminary,855622.05,3362.91
2014-2015,Jan,2015,Southern Seminary,949127.89,3150.45
2014-2015,Jan,2015,New Orleans Seminary,752988.51,1910.36
2014-2015,Jan,2015,Southeastern Seminary,832665.94,7341.16
2014-2015,Jan,2015,Golden Gate Seminary,402847.46,1886.5
2014-2015,Jan,2015,Midwestern Seminary,482913.81,1853.63
2014-2015,Jan,2015,Historical Library and Archives,46819.34,92.59
2014-2015,Jan,2015,Ethics & Religious Liberty Comm,321882.91,1214.19
2014-2015,Jan,2015,GuideStone Financial Resources,0.0,3491.45
2014-2015,Jan,2015,SBC Operating,583290.84,41260.86
2014-2015,Jan,2015,Miscellaneous,0.0,0.0
2014-2015,Feb,2015,International Mission Board,8769358.15,50957824.98
2014-2015,Feb,2015,North American Mission Board,3964564.03,2358695.28
2014-2015,Feb,2015,Southwestern Seminary,762990.46,9721.19
2014-2015,Feb,2015,Southern Seminary,846373.15,11591.74
2014-2015,Feb,2015,New Orleans Seminary,671468.26,7980.76
2014-2015,Feb,2015,Southeastern Seminary,742519.63,11119.66
2014-2015,Feb,2015,Golden Gate Seminary,359234.27,5131.88
2014-2015,Feb,2015,Midwestern Seminary,430632.46,5809.09
2014-2015,Feb,2015,Historical Library and Archives,41750.58,440.42
2014-2015,Feb,2015,Ethics & Religious Liberty Comm,287035.13,3205.05
2014-2015,Feb,2015,GuideStone Financial Resources,0.0,2621.69
2014-2015,Feb,2015,SBC Operating,520142.45,32985.82
2014-2015,Feb,2015,Miscellaneous,0.0,0.0
2014-2015,Mar,2015,International Mission Board,7177869.85,24900825.83
2014-2015,Mar,2015,North American Mission Board,3245063.56,1295097.52
2014-2015,Mar,2015,Southwestern Seminary,624520.76,3998.38
2014-2015,Mar,2015,Southern Seminary,692770.91,4514.77
2014-2015,Mar,2015,New Orleans Seminary,549608.27,3008.44
2014-2015,Mar,2015,Southeastern Seminary,607765.03,4390.23
2014-2015,Mar,2015,Golden Gate Seminary,294039.41,2770.94
2014-2015,Mar,2015,Midwestern Seminary,352480.04,2782.65
2014-2015,Mar,2015,Historical Library and Archives,34173.55,29.23
2014-2015,Mar,2015,Ethics & Religious Liberty Comm,234943.16,648.94
2014-2015,Mar,2015,GuideStone Financial Resources,0.0,822.54
2014-2015,Mar,2015,SBC Operating,425745.5,32433.41
2014-2015,Mar,2015,Miscellaneous,0.0,0.0
2014-2015,Apr,2015,International Mission Board,7486450.92,9791502.65
2014-2015,Apr,2015,North American Mission Board,3384570.85,3348437.62
2014-2015,Apr,2015,Southwestern Seminary,651369.29,9579.69
2014-2015,Apr,2015,Southern Seminary,722553.56,11235.1
2014-2015,Apr,2015,New Orleans Seminary,573236.27,7888.94
2014-2015,Apr,2015,Southeastern Seminary,633893.24,9329.98
2014-2015,Apr,2015,Golden Gate Seminary,306680.35,5216.75
2014-2015,Apr,2015,Midwestern Seminary,367633.39,5893.71
2014-2015,Apr,2015,Historical Library and Archives,35642.69,420.04
2014-2015,Apr,2015,Ethics & Religious Liberty Comm,245043.52,3484.78
2014-2015,Apr,2015,GuideStone Financial Resources,0.0,1534.11
2014-2015,Apr,2015,SBC Operating,444048.57,40807.74
2014-2015,Apr,2015,Miscellaneous,0.0,0.0
2014-2015,May,2015,International Mission Board,8752895.53,5882058.13
2014-2015,May,2015,North American Mission Board,3957121.39,18132777.45
2014-2015,May,2015,Southwestern Seminary,761558.11,2621.78
2014-2015,May,2015,Southern Seminary,844784.26,4517.95
2014-2015,May,2015,New Orleans Seminary,670207.73,1665.47
2014-2015,May,2015,Southeastern Seminary,741125.72,2480.52
2014-2015,May,2015,Golden Gate Seminary,358559.89,1329.68
2014-2015,May,2015,Midwestern Seminary,429824.04,1342.02
2014-2015,May,2015,Historical Library and Archives,41672.18,38.62
2014-2015,May,2015,Ethics & Religious Liberty Comm,286496.29,678.71
2014-2015,May,2015,GuideStone Financial Resources,0.0,1556.42
2014-2015,May,2015,SBC Operating,519166.0,33897.17
2014-2015,May,2015,Miscellaneous,0.0,0.0
2014-2015,Jun,2015,International Mission Board,7309263.14,2842909.89
2014-2015,Jun,2015,North American Mission Board,3304465.53,17002806.9
2014-2015,Jun,2015,Southwestern Seminary,635952.82,2644.16
2014-2015,Jun,2015,Southern Seminary,705452.31,5968.97
2014-2015,Jun,2015,New Orleans Seminary,559669.03,1954.5
2014-2015,Jun,2015,Southeastern Seminary,618890.37,5082.75
2014-2015,Jun,2015,Golden Gate Seminary,299421.9,1936.05
2014-2015,Jun,2015,Midwestern Seminary,358932.31,1940.28
2014-2015,Jun,2015,Historical Library and Archives,34799.1,16.63
2014-2015,Jun,2015,Ethics & Religious Liberty Comm,239243.88,684.74
2014-2015,Jun,2015,GuideStone Financial Resources,0.0,3200.64
2014-2015,Jun,2015,SBC Operating,433538.92,30218.24
2014-2015,Jun,2015,Miscellaneous,0.0,0.0
2014-2015,Jul,2015,International Mission Board,7968949.35,3256755.25
2014-2015,Jul,2015,North American Mission Board,3602704.94,5985310.66
2014-2015,Jul,2015,Southwestern Seminary,693349.75,4691.35
2014-2015,Jul,2015,Southern Seminary,769121.83,5422.74
2014-2015,Jul,2015,New Orleans Seminary,610181.1,3292.71
2014-2015,Jul,2015,Southeastern Seminary,674747.37,4194.31
2014-2015,Jul,2015,Golden Gate Seminary,326445.75,2081.45
2014-2015,Jul,2015,Midwestern Seminary,391327.19,1690.03
2014-2015,Jul,2015,Historical Library and Archives,37939.85,101.45
2014-2015,Jul,2015,Ethics & Religious Liberty Comm,260836.47,1228.64
2014-2015,Jul,2015,GuideStone Financial Resources,0.0,864.82
2014-2015,Jul,2015,SBC Operating,472667.3,38182.13
2014-2015,Aug,2015,International Mission Board,7771818.87,2591802.94
2014-2015,Aug,2015,North American Mission Board,3513583.67,2818478.15
2014-2015,Aug,2015,Southwestern Seminary,676198.14,17430.1
2014-2015,Aug,2015,Southern Seminary,750095.82,21498.48
2014-2015,Aug,2015,New Orleans Seminary,595086.85,14939.49
2014-2015,Aug,2015,Southeastern Seminary,658055.92,16910.09
2014-2015,Aug,2015,Golden Gate Seminary,318370.36,8390.24
2014-2015,Aug,2015,Midwestern Seminary,381646.81,9349.1
2014-2015,Aug,2015,Historical Library and Archives,37001.32,861.92
2014-2015,Aug,2015,Ethics & Religious Liberty Comm,254384.07,6482.77
2014-2015,Aug,2015,GuideStone Financial Resources,0.0,3683.84
2014-2015,Aug,2015,SBC Operating,460974.78,41300.62
2014-2015,Sep,2015,International Mission Board,7509615.92,2124767.74
2014-2015,Sep,2015,North American Mission Board,3391948.83,1682404.67
2014-2015,Sep,2015,Southwestern Seminary,652719.67,3075.08
2014-2015,Sep,2015,Southern Seminary,724183.03,3178.19
2014-2015,Sep,2015,New Orleans Seminary,574487.2,1962.23
2014-2015,Sep,2015,Southeastern Seminary,635294.55,3109.97
2014-2015,Sep,2015,Golden Gate Seminary,307406.51,1535.5
2014-2015,Sep,2015,Midwestern Seminary,368371.46,1383.23
2014-2015,Sep,2015,Historical Library and Archives,35720.4,41.27
2014-2015,Sep,2015,Ethics & Religious Liberty Comm,245577.68,752.73
2014-2015,Sep,2015,GuideStone Financial Resources,0.0,2449.43
2014-2015,Sep,2015,SBC Operating,438171.17,26810.32
2014-2015,Sep,2015,Miscellaneous,0.0,0.0
2013-2014,Oct,2013,International Mission Board,6861523.94,1930512.04
2013-2014,Oct,2013,North American Mission Board,3102045.85,1179137.66
2013-2014,Oct,2013,Southwestern Seminary,625240.26,3102.74
2013-2014,Oct,2013,Southern Seminary,653677.79,3124.21
2013-2014,Oct,2013,New Orleans Seminary,517656.2,2212.11
2013-2014,Oct,2013,Southeastern Seminary,569453.23,1575.98
2013-2014,Oct,2013,Golden Gate Seminary,285826.89,2056.88
2013-2014,Oct,2013,Midwestern Seminary,331771.99,2076.48
2013-2014,Oct,2013,Historical Library and Archives,32667.44,65.68
2013-2014,Oct,2013,Ethics & Religious Liberty Comm,224588.67,641.32
2013-2014,Oct,2013,GuideStone Financial Resources,0.0,1855.3
2013-2014,Oct,2013,SBC Operating,406981.88,77872.84
2013-2014,Oct,2013,Miscellaneous,0.0,0.0
2013-2014,Nov,2013,International Mission Board,8286808.83,2473905.29
2013-2014,Nov,2013,North American Mission Board,3746406.91,1122660.96
2013-2014,Nov,2013,Southwestern Seminary,755116.01,4214.12
2013-2014,Nov,2013,Southern Seminary,789460.61,5104.01
2013-2014,Nov,2013,New Orleans Seminary,625184.43,3598.33
2013-2014,Nov,2013,Southeastern Seminary,687740.79,3094.65
2013-2014,Nov,2013,Golden Gate Seminary,345199.23,2398.2
2013-2014,Nov,2013,Midwestern Seminary,400688.1,2438.91
2013-2014,Nov,2013,Historical Library and Archives,39453.16,64.96
2013-2014,Nov,2013,Ethics & Religious Liberty Comm,271240.51,859.93
2013-2014,Nov,2013,GuideStone Financial Resources,0.0,1827.01
2013-2014,Nov,2013,SBC Operating,491520.68,83246.33
2013-2014,Nov,2013,Miscellaneous,0.0,0.0
2013-2014,Dec,2013,International Mission Board,6946267.17,3052232.51
2013-2014,Dec,2013,North American Mission Board,3140357.67,1010298.86
2013-2014,Dec,2013,Southwestern Seminary,632962.3,3472.74
2013-2014,Dec,2013,Southern Seminary,661751.04,2971.45
2013-2014,Dec,2013,New Orleans Seminary,524049.53,2672.6
2013-2014,Dec,2013,Southeastern Seminary,576486.26,2557.36
2013-2014,Dec,2013,Golden Gate Seminary,289357.01,1864.82
2013-2014,Dec,2013,Midwestern Seminary,335869.55,1921.95
2013-2014,Dec,2013,Historical Library and Archives,33070.91,42.44
2013-2014,Dec,2013,Ethics & Religious Liberty Comm,227362.45,648.66
2013-2014,Dec,2013,GuideStone Financial Resources,0.0,1628.03
2013-2014,Dec,2013,SBC Operating,412008.32,51704.9
2013-2014,Dec,2013,Miscellaneous,0.0,0.0
2013-2014,Jan,2014,International Mission Board,8975999.17,23965817.07
2013-2014,Jan,2014,North American Mission Board,4057984.94,1971501.69
2013-2014,Jan,2014,Southwestern Seminary,817916.86,2203.91
2013-2014,Jan,2014,Southern Seminary,855117.82,13334.15
2013-2014,Jan,2014,New Orleans Seminary,677179.24,1253.31
2013-2014,Jan,2014,Southeastern Seminary,744938.25,997.92
2013-2014,Jan,2014,Golden Gate Seminary,373908.48,1674.96
2013-2014,Jan,2014,Midwestern Seminary,434012.21,1687.92
2013-2014,Jan,2014,Historical Library and Archives,42734.38,78.74
2013-2014,Jan,2014,Ethics & Religious Liberty Comm,293798.82,595.26
2013-2014,Jan,2014,GuideStone Financial Resources,0.0,4902.58
2013-2014,Jan,2014,SBC Operating,532399.09,101961.61
2013-2014,Jan,2014,Miscellaneous,0.0,0.0
2013-2014,Feb,2014,International Mission Board,9119623.15,52419747.29
2013-2014,Feb,2014,North American Mission Board,4122916.33,2533089.28
2013-2014,Feb,2014,Southwestern Seminary,831004.25,2373.32
2013-2014,Feb,2014,Southern Seminary,868800.45,2769.33
2013-2014,Feb,2014,New Orleans Seminary,688014.73,1810.27
2013-2014,Feb,2014,Southeastern Seminary,756857.93,2132.19
2013-2014,Feb,2014,Golden Gate Seminary,379891.34,1592.18
2013-2014,Feb,2014,Midwestern Seminary,440956.78,1623.57
2013-2014,Feb,2014,Historical Library and Archives,43418.15,33.0
2013-2014,Feb,2014,Ethics & Religious Liberty Comm,298499.87,671.83
2013-2014,Feb,2014,GuideStone Financial Resources,0.0,1011.6
2013-2014,Feb,2014,SBC Operating,540917.93,118434.02
2013-2014,Feb,2014,Miscellaneous,0.0,0.0
2013-2014,Mar,2014,International Mission Board,7376161.94,24913683.45
2013-2014,Mar,2014,North American Mission Board,3334709.98,1507002.48
2013-2014,Mar,2014,Southwestern Seminary,672135.45,2474.75
2013-2014,Mar,2014,Southern Seminary,702705.89,6615.35
2013-2014,Mar,2014,New Orleans Seminary,556482.2,1638.27
2013-2014,Mar,2014,Southeastern Seminary,612164.17,1899.96
2013-2014,Mar,2014,Golden Gate Seminary,307264.89,1631.65
2013-2014,Mar,2014,Midwestern Seminary,356656.03,1640.15
2013-2014,Mar,2014,Historical Library and Archives,35117.61,45.77
2013-2014,Mar,2014,Ethics & Religious Liberty Comm,241433.59,4829.96
2013-2014,Mar,2014,GuideStone Financial Resources,0.0,1013.1
2013-2014,Mar,2014,SBC Operating,437506.92,71536.94
2013-2014,Mar,2014,Miscellaneous,0.0,0.0
2013-2014,Apr,2014,International Mission Board,7446173.27,9211919.99
2013-2014,Apr,2014,North American Mission Board,3366361.62,2705416.42
2013-2014,Apr,2014,Southwestern Seminary,678515.07,4449.32
2013-2014,Apr,2014,Southern Seminary,709375.66,10269.15
2013-2014,Apr,2014,New Orleans Seminary,561764.09,3383.77
2013-2014,Apr,2014,Southeastern Seminary,617974.58,6249.95
2013-2014,Apr,2014,Golden Gate Seminary,310181.32,3795.22
