fy,month,year,ministry,allocated,designated
2020-2021,May,2021,Southwestern Seminary,616313.81,4261.16
2020-2021,May,2021,Historical Library and Archives,40714.64,216.0
2020-2021,May,2021,Ethics & Religious Liberty Comm,279913.15,275.4
2020-2021,May,2021,GuideStone Financial Resources,0.0,1252.66
2020-2021,May,2021,SBC Executive Comm and SBC Operating,507236.54,21415.88
2020-2021,May,2021,SBC Executive Comm - Vision 2025,16667.0,0.0
2020-2021,Jun,2021,International Mission Board,8780586.58,2007461.91
2020-2021,Jun,2021,North American Mission Board,3969640.29,19363742.32
2020-2021,Jun,2021,Gateway Seminary,339167.5,2512.77
2020-2021,Jun,2021,Midwestern Seminary,660451.49,4195.52
2020-2021,Jun,2021,New Orleans Seminary,611940.37,3739.91
2020-2021,Jun,2021,Southeastern Seminary,653359.87,4251.98
2020-2021,Jun,2021,Southern Seminary,920377.21,5718.56
2020-2021,Jun,2021,Southwestern Seminary,632804.31,9147.11
2020-2021,Jun,2021,Historical Library and Archives,41804.03,199.33
2020-2021,Jun,2021,Ethics & Religious Liberty Comm,287402.71,439.14
2020-2021,Jun,2021,GuideStone Financial Resources,0.0,1031.14
2020-2021,Jun,2021,SBC Executive Comm and SBC Operating,520808.5,1513899.04
2020-2021,Jun,2021,SBC Executive Comm - Vision 2025,16667.0,0.0
2020-2021,Jul,2021,International Mission Board,7926533.08,2791214.25
2020-2021,Jul,2021,North American Mission Board,3583528.82,6399151.91
2020-2021,Jul,2021,Gateway Seminary,306177.99,3427.69
2020-2021,Jul,2021,Midwestern Seminary,596211.96,5322.95
2020-2021,Jul,2021,New Orleans Seminary,552419.31,5052.35
2020-2021,Jul,2021,Southeastern Seminary,589810.09,5971.93
2020-2021,Jul,2021,Southern Seminary,830855.7,8680.65
2020-2021,Jul,2021,Southwestern Seminary,571253.91,5991.47
2020-2021,Jul,2021,Historical Library and Archives,37737.89,235.24
2020-2021,Jul,2021,Ethics & Religious Liberty Comm,259448.15,671.31
2020-2021,Jul,2021,GuideStone Financial Resources,0.0,1635.58
2020-2021,Jul,2021,SBC Executive Comm and SBC Operating,470151.48,50797.05
2020-2021,Jul,2021,SBC Executive Comm - Vision 2025,16667.0,0.0
2020-2021,Aug,2021,International Mission Board,8495624.32,3794886.19
2020-2021,Aug,2021,North American Mission Board,3840810.9,3195680.23
2020-2021,Aug,2021,Gateway Seminary,328160.25,1957.09
2020-2021,Aug,2021,Midwestern Seminary,639017.43,3227.4
2020-2021,Aug,2021,New Orleans Seminary,592080.65,2840.81
2020-2021,Aug,2021,Southeastern Seminary,632155.95,4396.61
2020-2021,Aug,2021,Southern Seminary,890507.6,4468.14
2020-2021,Aug,2021,Southwestern Seminary,612267.49,3058.67
2020-2021,Aug,2021,Historical Library and Archives,40447.33,153.93
2020-2021,Aug,2021,Ethics & Religious Liberty Comm,278075.43,1097.56
2020-2021,Aug,2021,GuideStone Financial Resources,0.0,9911.78
2020-2021,Aug,2021,SBC Executive Comm and SBC Operating,503906.35,22884.41
2020-2021,Aug,2021,SBC Executive Comm - Vision 2025,16667.0,0.0
2019-2020,Oct,2019,International Mission Board,7666177.1,2224593.81
2019-2020,Oct,2019,North American Mission Board,3465823.77,1575227.12
