fy,month,year,source,allocated,designated,lottiemoon,anniearmstrong,other_designated
2012-2013,Dec,2012,Michigan,0.0,0.0,0.0,0.0,0.0
2012-2013,Dec,2012,Minnesota-Wisconsin,4126.93,785.13,626.9,158.23,0.0
2012-2013,Dec,2012,Mississippi,976606.99,172037.64,84204.06,23083.24,64750.34
2012-2013,Dec,2012,Missouri,437456.76,219052.89,101946.94,45978.58,71127.37
2012-2013,Dec,2012,Montana,8669.57,1622.87,280.59,159.59,1182.69
2012-2013,Dec,2012,Nevada,17566.55,8854.7,507.92,2108.3,6238.48
2012-2013,Dec,2012,New England,5212.0,5781.86,2494.0,699.0,2588.86
2012-2013,Dec,2012,New Mexico,66846.64,42688.31,17702.44,11966.54,13019.33
2012-2013,Dec,2012,New York,18733.31,3360.06,2393.72,662.18,304.16
2012-2013,Dec,2012,North Carolina,763079.91,293955.2,140589.57,48374.05,104991.58
2012-2013,Dec,2012,Northwest,49384.18,39429.48,18837.07,2456.94,18135.47
2012-2013,Dec,2012,Ohio,208106.09,76046.55,48742.61,12692.48,14611.46
2012-2013,Dec,2012,Oklahoma,689435.34,182371.96,132080.93,30615.17,19675.86
2012-2013,Dec,2012,Pennsylvania-South Jersey,15034.02,4795.81,1470.63,1737.28,1587.9
2012-2013,Dec,2012,Puerto Rico/Virgin Islands,375.1,0.0,0.0,0.0,0.0
2012-2013,Dec,2012,South Carolina,882012.0,310268.65,121558.08,44068.12,144642.45
2012-2013,Dec,2012,Tennessee,1075402.67,248291.37,109437.26,29406.39,109447.72
2012-2013,Dec,2012,Texas - BGCT,808909.64,313341.38,188655.18,63989.41,60696.79
2012-2013,Dec,2012,Texas - SBTC,1179855.16,181203.79,118578.49,29979.36,32645.94
2012-2013,Dec,2012,Utah - Idaho,10212.13,4813.28,2361.28,1879.52,572.48
2012-2013,Dec,2012,Virginia - BGAV,0.0,0.0,0.0,0.0,0.0
2012-2013,Dec,2012,Virginia - SBCV,273267.17,114516.94,70399.48,24558.3,19559.16
2012-2013,Dec,2012,West Virginia,32098.66,18590.74,1890.03,232.0,16468.71
2012-2013,Dec,2012,Wyoming,10608.65,2969.76,231.74,331.74,2406.28
2012-2013,Dec,2012,Churches & Individuals,416311.38,187001.46,66495.21,13390.68,107115.57
2012-2013,Jan,2013,Alabama,1396659.67,963622.18,804351.41,41185.88,118084.89
2012-2013,Jan,2013,Alaska,21469.06,54061.26,51889.82,1186.0,985.44
2012-2013,Jan,2013,Arizona,61575.99,74259.02,71940.95,1214.03,1104.04
2012-2013,Jan,2013,Arkansas,794290.47,1796198.03,1597510.77,151063.13,47624.13
2012-2013,Jan,2013,California,154190.93,210830.32,187118.48,18626.84,5085.0
2012-2013,Jan,2013,Colorado,86210.49,238719.4,223905.78,11027.57,3786.05
2012-2013,Jan,2013,Dakota,4036.16,3750.0,3675.0,25.0,50.0
2012-2013,Jan,2013,D. C.,4636.76,985.84,323.99,661.85,0.0
2012-2013,Jan,2013,Florida,865604.78,570770.51,348593.16,80414.3,141763.05
2012-2013,Jan,2013,Georgia,1910318.8,4251640.93,3917492.81,169685.62,164462.5
2012-2013,Jan,2013,Hawaii Pacific,40396.57,61706.12,43634.71,2120.56,15950.85
2012-2013,Jan,2013,Illinois,223563.99,598131.36,539621.6,39406.61,19103.15
2012-2013,Jan,2013,Indiana,111108.32,309833.65,292873.21,11242.56,5717.88
2012-2013,Jan,2013,Iowa,9305.16,16886.56,14535.05,203.63,2147.88
2012-2013,Jan,2013,Kansas-Nebraska,71503.98,265095.9,238791.92,24534.55,1769.43
2012-2013,Jan,2013,Kentucky,709085.84,293739.49,197374.2,21093.11,75272.18
2012-2013,Jan,2013,Louisiana,520740.0,2328865.85,2198237.78,117975.13,12652.94
2012-2013,Jan,2013,Maryland-Delaware,173595.43,378225.54,344174.58,23714.65,10336.31
2012-2013,Jan,2013,Michigan,26837.85,15441.67,0.0,0.0,15441.67
2012-2013,Jan,2013,Minnesota-Wisconsin,7148.86,36437.78,34179.11,1774.07,484.6
2012-2013,Jan,2013,Mississippi,912545.35,407313.89,285908.05,99510.93,21894.91
2012-2013,Jan,2013,Missouri,468066.61,514759.07,427795.4,48933.27,38030.4
2012-2013,Jan,2013,Montana,8024.08,3254.84,1557.85,1576.99,120.0
2012-2013,Jan,2013,Nevada,22011.29,25497.77,23651.93,1094.3,751.54
2012-2013,Jan,2013,New England,10390.0,18078.71,17483.27,140.0,455.44
2012-2013,Jan,2013,New Mexico,87437.8,279711.89,264118.64,6810.58,8782.67
2012-2013,Jan,2013,New York,11478.73,11008.32,9424.8,557.68,1025.84
2012-2013,Jan,2013,North Carolina,1180108.29,3824525.05,3641389.45,116370.6,66765.0
2012-2013,Jan,2013,Northwest,63322.39,140615.2,131271.0,3091.41,6252.79
2012-2013,Jan,2013,Ohio,179852.44,534940.55,449838.3,59828.77,25273.48
2012-2013,Jan,2013,Oklahoma,2756270.62,2455634.26,2312841.78,122132.7,20659.78
2012-2013,Jan,2013,Pennsylvania-South Jersey,25240.06,47900.59,43781.71,3127.18,991.7
2012-2013,Jan,2013,Puerto Rico/Virgin Islands,0.0,0.0,0.0,0.0,0.0
