fy,month,year,source,allocated,designated,lottiemoon,anniearmstrong,other_designated
2016-2017,Aug,2017,Puerto Rico/Virgin Islands,1123.01,20735.25,9580.49,6454.55,4700.21
2016-2017,Aug,2017,South Carolina,894498.39,257290.98,88448.17,158900.23,9942.58
2016-2017,Aug,2017,Tennessee,1199336.25,345930.35,129632.22,172555.1,43743.03
2016-2017,Aug,2017,Texas - BGCT,823576.65,383014.9,122974.85,229495.97,30544.08
2016-2017,Aug,2017,Texas - SBTC,1100643.32,292984.91,132929.89,142078.17,17976.85
2016-2017,Aug,2017,Utah - Idaho,16543.85,37393.63,5838.59,30960.04,595.0
2016-2017,Aug,2017,Virginia - BGAV,37387.8,146702.14,35186.02,109942.36,1573.76
2016-2017,Aug,2017,Virginia - SBCV,396565.02,106858.95,54386.31,48951.63,3521.01
2016-2017,Aug,2017,West Virginia,43749.89,6207.22,2607.06,2933.23,666.93
2016-2017,Aug,2017,Wyoming,9846.94,965.76,12.38,812.38,141.0
2016-2017,Aug,2017,Churches & Individuals,428794.28,148314.31,6784.52,46085.45,95444.34
2016-2017,Sep,2017,Alabama,1577101.98,307909.23,83848.61,180540.9,43519.72
2016-2017,Sep,2017,Alaska,18956.55,3238.32,2877.25,361.07,0.0
2016-2017,Sep,2017,Arizona,363367.31,12482.39,8698.01,2983.38,801.0
2016-2017,Sep,2017,Arkansas,563870.77,62725.86,42458.42,16640.61,3626.83
2016-2017,Sep,2017,California,214822.35,53904.04,12254.48,40827.63,821.93
2016-2017,Sep,2017,Colorado,32026.5,37347.2,8934.6,28412.6,-953.21
2016-2017,Sep,2017,Dakota,9434.17,2833.51,942.51,365.0,1526.0
2016-2017,Sep,2017,D. C.,0.0,2418.35,319.75,2098.6,0.0
2016-2017,Sep,2017,Florida,1191077.35,254832.93,73668.03,47931.13,133233.77
2016-2017,Sep,2017,Georgia,1563258.87,310158.66,120194.31,127879.34,62085.01
2016-2017,Sep,2017,Hawaii Pacific,0.0,0.0,0.0,0.0,0.0
2016-2017,Sep,2017,Illinois,145807.12,41540.06,22635.15,13521.04,5383.87
2016-2017,Sep,2017,Indiana,132226.3,17773.7,10888.01,5426.48,1459.21
2016-2017,Sep,2017,Iowa,0.0,0.0,0.0,0.0,0.0
2016-2017,Sep,2017,Kansas-Nebraska,52624.42,27445.75,15553.04,10945.17,947.54
2016-2017,Sep,2017,Kentucky,906609.88,115683.41,53973.33,42850.6,18859.48
2016-2017,Sep,2017,Louisiana,615157.59,68903.17,28902.75,31013.7,8986.72
2016-2017,Sep,2017,Maryland-Delaware,127203.06,18486.95,8763.22,8714.92,1008.81
2016-2017,Sep,2017,Michigan,28136.63,14648.44,7362.25,5990.19,1296.0
2016-2017,Sep,2017,Minnesota-Wisconsin,0.0,0.0,0.0,0.0,0.0
2016-2017,Sep,2017,Mississippi,981099.58,215287.75,161317.56,687825.92,-633855.73
2016-2017,Sep,2017,Missouri,586836.57,138460.6,71964.96,47174.56,19321.08
2016-2017,Sep,2017,Montana,14450.96,4118.82,274.45,2992.97,851.4
2016-2017,Sep,2017,Nevada,49308.55,5695.18,529.18,5066.0,100.0
2016-2017,Sep,2017,New England,15028.63,2197.11,1600.5,382.0,214.61
2016-2017,Sep,2017,New Mexico,111105.85,149972.7,20508.71,127223.11,2240.88
2016-2017,Sep,2017,New York,18586.26,13849.0,1330.7,10995.12,1523.18
2016-2017,Sep,2017,North Carolina,973220.23,358716.68,190254.66,154238.11,15177.12
2016-2017,Sep,2017,Northwest,60272.98,15362.93,6220.85,6695.56,2446.52
2016-2017,Sep,2017,Ohio,152862.8,22617.28,136968.06,26870.97,5409.39
2016-2017,Sep,2017,Oklahoma,755133.93,242461.21,141550.23,92057.58,8853.4
2016-2017,Sep,2017,Pennsylvania-South Jersey,17449.78,5776.51,2362.37,2363.05,1051.09
2016-2017,Sep,2017,Puerto Rico/Virgin Islands,0.0,0.0,0.0,0.0,0.0
2016-2017,Sep,2017,South Carolina,960904.08,156251.29,66880.9,70938.92,18431.47
2016-2017,Sep,2017,Tennessee,1328796.89,302197.11,137286.95,95542.41,69367.75
2016-2017,Sep,2017,Texas - BGCT,831031.49,323032.71,46558.0,85886.63,43956.94
2016-2017,Sep,2017,Texas - SBTC,1321820.79,241946.72,175809.13,44360.74,21776.85
2016-2017,Sep,2017,Utah - Idaho,15934.74,1515.07,334.89,130.7,1049.48
2016-2017,Sep,2017,Virginia - BGAV,76825.7,64862.9,39471.47,24600.36,791.07
2016-2017,Sep,2017,Virginia - SBCV,343355.95,40196.54,23917.26,10315.19,5964.09
2016-2017,Sep,2017,West Virginia,29919.11,3769.35,2739.49,70.0,959.86
2016-2017,Sep,2017,Wyoming,9149.16,2388.62,284.09,1916.1,188.43
2016-2017,Sep,2017,Churches & Individuals,418021.58,897459.88,2345.9,2386.72,892727.26
2017-2018,Oct,2017,Alabama,1373527.39,205182.1,82679.88,72767.4,49734.82
2017-2018,Oct,2017,Alaska,11663.51,500.0,0.0,500.0,0.0
2017-2018,Oct,2017,Arizona,72495.1,19649.91,8985.19,9690.02,974.7
2017-2018,Oct,2017,Arkansas,784245.37,275760.78,133847.0,110678.56,31235.22
2017-2018,Oct,2017,California,161268.87,66327.89,17106.59,45947.4,3273.9
2017-2018,Oct,2017,Colorado,131223.09,40695.7,15039.66,24314.22,1341.82
2017-2018,Oct,2017,Dakota,5814.03,1181.72,271.72,910.0,0.0
2017-2018,Oct,2017,D. C.,0.0,0.0,0.0,0.0,0.0
2017-2018,Oct,2017,Florida,1083840.7,103480.79,56437.76,24782.69,22260.34
2017-2018,Oct,2017,Georgia,1236564.69,858021.55,108916.0,682150.42,66955.13
2017-2018,Oct,2017,Hawaii Pacific,71124.53,36320.31,16804.17,16908.14,2608.0
2017-2018,Oct,2017,Illinois,175612.3,24968.67,13393.3,7534.84,4040.53
2017-2018,Oct,2017,Indiana,89531.21,20955.13,2448.58,2096.14,16410.41
2017-2018,Oct,2017,Iowa,40836.23,4754.14,2988.1,859.77,906.27
2017-2018,Oct,2017,Kansas-Nebraska,58476.94,15207.39,9887.97,4558.23,761.19
2017-2018,Oct,2017,Kentucky,803143.27,76325.46,44388.25,15073.1,16864.11
2017-2018,Oct,2017,Louisiana,567399.66,93899.67,65778.78,27017.62,1103.27
2017-2018,Oct,2017,Maryland-Delaware,126306.37,57527.99,34494.13,20729.86,2304.0
2017-2018,Oct,2017,Michigan,25162.36,20523.2,11170.47,7922.73,1430.0
2017-2018,Oct,2017,Minnesota-Wisconsin,9101.31,1391.68,677.0,606.0,108.68
2017-2018,Oct,2017,Mississippi,980962.1,126237.41,82544.58,36550.43,7142.4
2017-2018,Oct,2017,Missouri,465533.82,140538.87,71428.92,55133.66,13976.29
2017-2018,Oct,2017,Montana,12795.23,907.8,109.5,73.0,725.3
2017-2018,Oct,2017,Nevada,48068.64,40445.43,7266.14,2033.53,31145.76
2017-2018,Oct,2017,New England,11972.05,1598.16,1097.38,265.0,235.78
2017-2018,Oct,2017,New Mexico,93785.47,28156.52,12127.46,10206.15,5822.91
2017-2018,Oct,2017,New York,20408.08,9652.35,3928.09,3657.52,2066.74
2017-2018,Oct,2017,North Carolina,875386.59,281099.02,156042.68,111284.79,13771.55
2017-2018,Oct,2017,Northwest,54000.15,10875.08,8601.57,678.04,1595.47
2017-2018,Oct,2017,Ohio,213210.53,29454.37,14227.73,7946.68,7279.96
2017-2018,Oct,2017,Oklahoma,800430.2,98926.38,69064.14,25709.06,4153.18
2017-2018,Oct,2017,Pennsylvania-South Jersey,23319.26,9919.9,1528.2,1384.45,7007.25
2017-2018,Oct,2017,Puerto Rico/Virgin Islands,0.0,0.0,0.0,0.0,0.0
2017-2018,Oct,2017,South Carolina,852248.58,194856.11,113361.72,68991.34,12503.05
2017-2018,Oct,2017,Tennessee,1183001.89,162788.09,76032.47,48475.16,38280.46
2017-2018,Oct,2017,Texas - BGCT,701577.3,211269.71,112143.08,69328.62,29798.01
2017-2018,Oct,2017,Texas - SBTC,1158698.24,153211.95,90804.99,43664.98,18741.98
2017-2018,Oct,2017,Utah - Idaho,14597.27,4053.14,3062.57,295.57,695.0
2017-2018,Oct,2017,Virginia - BGAV,20763.71,52568.64,26992.77,25011.17,564.7
2017-2018,Oct,2017,Virginia - SBCV,414128.17,44621.66,25708.49,15092.16,3821.01
2017-2018,Oct,2017,West Virginia,35847.29,6315.48,3926.56,1740.86,648.06
2017-2018,Oct,2017,Wyoming,7539.7,890.66,474.33,416.33,0.0
2017-2018,Oct,2017,Churches & Individuals,299029.88,94695.12,2953.29,2088.17,89653.66
2017-2018,Nov,2017,Alabama,1246540.33,164444.22,73460.27,50844.5,40139.45
2017-2018,Nov,2017,Alaska,21626.55,10481.87,3622.0,4859.87,2000.0
2017-2018,Nov,2017,Arizona,67011.61,10089.38,4897.69,4178.95,1012.74
2017-2018,Nov,2017,Arkansas,715452.54,159661.18,102320.73,29201.93,28138.52
2017-2018,Nov,2017,California,179144.15,45404.91,26899.29,15679.43,2826.19
2017-2018,Nov,2017,Colorado,32508.65,3456.54,2643.54,357.0,456.0
2017-2018,Nov,2017,Dakota,33145.75,1123.45,691.45,100.0,332.0
2017-2018,Nov,2017,D. C.,1846.6,105.0,105.0,0.0,0.0
2017-2018,Nov,2017,Florida,1073332.97,185459.77,90726.88,54331.41,40401.48
2017-2018,Nov,2017,Georgia,1277131.01,433926.71,235954.13,127326.85,70645.73
2017-2018,Nov,2017,Hawaii Pacific,48807.14,16487.0,2672.0,8343.0,5472.0
2017-2018,Nov,2017,Illinois,225102.06,78180.93,50049.14,20370.95,7760.84
2017-2018,Nov,2017,Indiana,87806.64,12193.36,8183.92,2259.23,1750.21
2017-2018,Nov,2017,Iowa,36399.24,9829.11,9668.11,104.0,57.0
2017-2018,Nov,2017,Kansas-Nebraska,51455.76,28322.62,14059.46,13488.5,774.66
2017-2018,Nov,2017,Kentucky,772408.84,104196.77,59896.45,18024.24,26276.08
2017-2018,Nov,2017,Louisiana,552660.68,59076.16,39353.05,14231.89,5491.22
2017-2018,Nov,2017,Maryland-Delaware,137079.38,75122.83,20624.79,39435.07,15062.97
2017-2018,Nov,2017,Michigan,22185.56,27327.66,14845.64,9433.02,3049.0
2017-2018,Nov,2017,Minnesota-Wisconsin,0.0,0.0,0.0,0.0,0.0
2017-2018,Nov,2017,Mississippi,980898.9,129427.59,69278.55,47440.83,12708.21
2017-2018,Nov,2017,Missouri,512298.55,161504.95,101559.06,42391.58,17554.31
2017-2018,Nov,2017,Montana,13522.15,1309.96,374.98,374.98,560.0
2017-2018,Nov,2017,Nevada,55295.74,6805.41,707.49,157.5,5940.42
2017-2018,Nov,2017,New England,13249.27,1663.45,1440.0,78.0,145.45
2017-2018,Nov,2017,New Mexico,50079.89,15190.21,6619.72,7540.74,1029.75
2017-2018,Nov,2017,New York,15388.68,4529.86,1964.13,1611.01,954.72
2017-2018,Nov,2017,North Carolina,1004693.0,235349.67,134941.44,71354.23,29054.0
2017-2018,Nov,2017,Northwest,82420.72,27332.42,20276.05,3695.41,3360.96
2017-2018,Nov,2017,Ohio,125847.23,15376.88,7125.88,4358.24,3892.76
2017-2018,Nov,2017,Oklahoma,803829.26,127292.69,90600.58,22214.85,14477.26
2017-2018,Nov,2017,Pennsylvania-South Jersey,34985.67,3250.09,1061.68,861.68,1326.73
2017-2018,Nov,2017,Puerto Rico/Virgin Islands,0.0,0.0,0.0,0.0,0.0
2017-2018,Nov,2017,South Carolina,886918.52,223984.01,146194.56,46342.83,31446.62
2017-2018,Nov,2017,Tennessee,1218684.74,347526.06,120427.55,176632.51,50466.0
2017-2018,Nov,2017,Texas - BGCT,733714.46,327916.5,166929.13,128296.54,32690.83
2017-2018,Nov,2017,Texas - SBTC,1012653.87,208388.42,163735.98,36968.2,7684.24
2017-2018,Nov,2017,Utah - Idaho,18413.13,6710.19,3543.9,1630.29,1536.0
2017-2018,Nov,2017,Virginia - BGAV,116370.08,85742.96,49756.98,24760.91,11225.07
2017-2018,Nov,2017,Virginia - SBCV,335474.94,48498.01,27802.79,12475.15,8220.07
2017-2018,Nov,2017,West Virginia,56553.24,5979.34,2267.8,1590.45,2121.09
2017-2018,Nov,2017,Wyoming,8647.47,856.8,386.06,72.76,397.98
2017-2018,Nov,2017,Churches & Individuals,409309.6,122797.3,11065.28,16672.93,95059.09
2017-2018,Dec,2017,Alabama,1448476.69,306732.48,93638.5,75299.97,137794.01
2017-2018,Dec,2017,Alaska,23666.47,9727.24,6676.5,714.59,2336.15
2017-2018,Dec,2017,Arizona,83601.36,39441.8,33891.49,3273.14,2277.17
2017-2018,Dec,2017,Arkansas,747839.55,270726.04,212453.21,30179.66,28093.17
2017-2018,Dec,2017,California,170371.15,54684.97,20853.92,27467.74,6363.31
2017-2018,Dec,2017,Colorado,78132.17,14156.89,6467.05,4205.05,3484.79
2017-2018,Dec,2017,Dakota,9875.55,2287.2,2283.2,0.0,4.0
2017-2018,Dec,2017,D. C.,4539.24,818.87,470.87,174.0,174.0
2017-2018,Dec,2017,Florida,1136659.53,146883.99,85864.04,31472.33,29547.62
2017-2018,Dec,2017,Georgia,1458198.94,373761.76,162913.96,48958.0,161889.8
2017-2018,Dec,2017,Hawaii Pacific,0.0,0.0,0.0,0.0,0.0
2017-2018,Dec,2017,Illinois,165090.13,47847.21,19523.37,5370.53,22953.31
2017-2018,Dec,2017,Indiana,38500.0,16500.0,10929.2,2752.24,2818.56
2017-2018,Dec,2017,Iowa,36696.75,3869.6,1590.0,1456.6,823.0
2017-2018,Dec,2017,Kansas-Nebraska,71271.51,41178.85,30947.56,7534.0,2697.29
2017-2018,Dec,2017,Kentucky,895584.16,133259.59,54222.29,22609.49,56427.81
2017-2018,Dec,2017,Louisiana,576514.24,219138.74,180386.59,26987.73,11764.42
2017-2018,Dec,2017,Maryland-Delaware,115353.12,15813.95,11070.86,1866.74,2876.35
2017-2018,Dec,2017,Michigan,0.0,0.0,0.0,0.0,0.0
2017-2018,Dec,2017,Minnesota-Wisconsin,23603.51,4415.42,1761.41,1313.0,1341.01
2017-2018,Dec,2017,Mississippi,980910.3,193642.34,125589.78,34387.39,33665.17
2017-2018,Dec,2017,Missouri,574069.94,239814.58,123164.65,45912.22,70737.71
2017-2018,Dec,2017,Montana,10621.67,2433.25,1320.55,637.7,475.0
2017-2018,Dec,2017,Nevada,46460.15,2382.54,260.04,771.5,1351.0
2017-2018,Dec,2017,New England,0.0,0.0,0.0,0.0,0.0
2017-2018,Dec,2017,New Mexico,198694.59,46037.81,28222.82,12919.57,4895.42
2017-2018,Dec,2017,New York,18885.33,6544.61,2948.94,1679.78,1915.89
2017-2018,Dec,2017,North Carolina,908844.48,351489.95,188215.74,79926.82,83347.39
2017-2018,Dec,2017,Northwest,53736.69,7679.82,4172.06,2403.68,1104.08
2017-2018,Dec,2017,Ohio,196258.33,44854.42,30316.58,11568.76,2969.08
2017-2018,Dec,2017,Oklahoma,700445.97,269167.33,213976.15,42977.01,12214.17
2017-2018,Dec,2017,Pennsylvania-South Jersey,13543.67,4804.71,3342.3,551.23,911.18
2017-2018,Dec,2017,Puerto Rico/Virgin Islands,0.0,0.0,0.0,0.0,0.0
2017-2018,Dec,2017,South Carolina,929844.62,307035.7,169035.54,56535.49,81464.67
2017-2018,Dec,2017,Tennessee,1308070.18,499166.48,192143.57,129448.36,177574.55
2017-2018,Dec,2017,Texas - BGCT,786817.11,247497.05,145618.32,67971.41,33907.32
2017-2018,Dec,2017,Texas - SBTC,1237492.43,170039.34,130222.32,31494.73,8322.29
2017-2018,Dec,2017,Utah - Idaho,15581.18,2328.65,1438.92,173.73,716.0
2017-2018,Dec,2017,Virginia - BGAV,132834.23,26858.01,15266.84,10811.41,779.76
2017-2018,Dec,2017,Virginia - SBCV,314836.35,89856.71,62984.15,14404.78,12467.78
2017-2018,Dec,2017,West Virginia,36250.0,6539.54,4414.45,201.51,1923.58
2017-2018,Dec,2017,Wyoming,9847.88,2186.8,37.85,257.85,1891.1
2017-2018,Dec,2017,Churches & Individuals,485670.64,240678.47,39421.52,14235.55,187021.4
2017-2018,Jan,2018,Alabama,1520197.19,1691995.62,1339456.76,285429.61,67109.25
2017-2018,Jan,2018,Alaska,21367.47,35551.83,35001.83,550.0,0.0
2017-2018,Jan,2018,Arizona,82911.77,92232.7,88231.94,3388.76,612.0
2017-2018,Jan,2018,Arkansas,903557.75,1942180.21,1800936.83,120322.27,20921.11
2017-2018,Jan,2018,California,222652.79,102073.29,92458.64,6801.71,2812.94
2017-2018,Jan,2018,Colorado,49597.27,90950.73,87644.63,2540.37,765.73
2017-2018,Jan,2018,Dakota,6951.99,14000.93,13507.13,250.0,243.8
2017-2018,Jan,2018,D. C.,1682.8,1342.49,1342.49,0.0,0.0
2017-2018,Jan,2018,Florida,1511174.09,936212.67,758046.58,37697.25,140468.84
2017-2018,Jan,2018,Georgia,3514923.6,4049519.87,3645811.11,215808.13,187900.63
2017-2018,Jan,2018,Hawaii Pacific,26140.84,8375.97,2876.0,2556.0,2943.97
2017-2018,Jan,2018,Illinois,217659.61,505565.61,458751.21,35300.41,11513.99
2017-2018,Jan,2018,Indiana,136304.45,388695.55,362594.68,21118.74,4982.13
2017-2018,Jan,2018,Iowa,47951.18,90174.23,46315.5,42097.73,1761.0
2017-2018,Jan,2018,Kansas-Nebraska,107892.94,363374.16,322001.5,39318.15,2054.51
2017-2018,Jan,2018,Kentucky,864693.94,265583.64,191112.19,43495.0,30976.45
2017-2018,Jan,2018,Louisiana,647464.16,1880508.86,1722605.71,151352.76,6550.39
2017-2018,Jan,2018,Maryland-Delaware,135582.69,286476.73,269752.04,13311.78,3412.91
2017-2018,Jan,2018,Michigan,0.0,0.0,0.0,0.0,0.0
2017-2018,Jan,2018,Minnesota-Wisconsin,13762.49,25584.91,25142.07,15.0,427.84
2017-2018,Jan,2018,Mississippi,948364.91,362991.91,314111.6,32959.63,15920.68
2017-2018,Jan,2018,Missouri,500636.17,357320.38,279051.62,60902.36,17366.4
2017-2018,Jan,2018,Montana,20716.6,8719.56,6941.5,110.44,1667.62
2017-2018,Jan,2018,Nevada,45165.02,20729.25,15847.7,4626.35,255.2
2017-2018,Jan,2018,New England,17470.5,14786.63,9486.81,2411.77,2888.05
2017-2018,Jan,2018,New Mexico,0.0,0.0,0.0,0.0,0.0
2017-2018,Jan,2018,New York,20205.68,39663.21,34388.9,2053.04,3221.27
2017-2018,Jan,2018,North Carolina,1508257.69,3752315.68,3554497.12,147308.84,50509.72
2017-2018,Jan,2018,Northwest,63050.82,142569.65,130727.99,10572.3,1269.36
2017-2018,Jan,2018,Ohio,173006.45,371408.28,344729.65,19705.7,6972.93
2017-2018,Jan,2018,Oklahoma,547545.17,0.0,0.0,0.0,0.0
2017-2018,Jan,2018,Pennsylvania-South Jersey,26100.97,78789.5,72244.0,5969.11,576.39
2017-2018,Jan,2018,Puerto Rico/Virgin Islands,0.0,0.0,0.0,0.0,0.0
2017-2018,Jan,2018,South Carolina,940047.87,1164655.68,1004185.01,106644.24,53826.43
2017-2018,Jan,2018,Tennessee,1374289.88,737615.42,613106.26,75012.37,49496.79
2017-2018,Jan,2018,Texas - BGCT,792916.77,472585.52,341562.33,88834.75,42188.44
2017-2018,Jan,2018,Texas - SBTC,1341420.83,1611716.5,1283789.07,310900.94,17026.49
2017-2018,Jan,2018,Utah - Idaho,13821.27,14594.09,9950.68,3870.41,773.0
2017-2018,Jan,2018,Virginia - BGAV,107448.32,793372.38,745680.39,30837.89,16854.1
2017-2018,Jan,2018,Virginia - SBCV,487215.73,1832694.85,1746369.6,32865.99,53459.26
2017-2018,Jan,2018,West Virginia,43920.74,112586.9,101240.62,10423.23,923.05
2017-2018,Jan,2018,Wyoming,6708.78,10970.19,3626.52,5449.77,1893.9
2017-2018,Jan,2018,Churches & Individuals,1327731.21,402298.71,271018.81,3171.42,128108.48
2017-2018,Feb,2018,Alabama,2190262.02,5580930.1,5211997.71,271671.69,97260.7
2017-2018,Feb,2018,Alaska,17074.49,34135.81,33754.44,381.37,0.0
2017-2018,Feb,2018,Arizona,122917.88,427462.48,417942.2,6817.01,2703.27
2017-2018,Feb,2018,Arkansas,836613.24,1735807.06,1582667.55,95307.17,57832.34
2017-2018,Feb,2018,California,193798.97,783182.47,764983.53,14257.03,3941.91
2017-2018,Feb,2018,Colorado,27554.22,151712.08,146127.35,3254.73,2330.0
2017-2018,Feb,2018,Dakota,0.0,0.0,0.0,0.0,0.0
2017-2018,Feb,2018,D. C.,17.5,268.5,262.5,6.0,0.0
2017-2018,Feb,2018,Florida,1347620.17,2286551.89,2163169.76,91664.38,31717.75
2017-2018,Feb,2018,Georgia,813115.9,2117928.2,1969354.58,72475.57,76098.05
2017-2018,Feb,2018,Hawaii Pacific,0.0,0.0,0.0,0.0,0.0
2017-2018,Feb,2018,Illinois,257059.39,515301.3,487671.8,14440.16,13189.34
2017-2018,Feb,2018,Indiana,81949.51,33050.49,29944.64,2793.51,312.34
2017-2018,Feb,2018,Iowa,15133.32,5776.82,5776.82,0.0,0.0
2017-2018,Feb,2018,Kansas-Nebraska,44265.26,83240.85,79446.17,3794.68,0.0
2017-2018,Feb,2018,Kentucky,1074591.96,3058158.69,2846455.74,154124.65,57578.3
2017-2018,Feb,2018,Louisiana,692331.82,1358027.11,1274168.31,75929.56,7929.24
2017-2018,Feb,2018,Maryland-Delaware,156427.96,296986.31,291754.35,3084.0,2147.96
2017-2018,Feb,2018,Michigan,52961.11,12535.37,24956.77,-12700.64,279.24
2017-2018,Feb,2018,Minnesota-Wisconsin,20413.67,110273.81,104865.31,4908.5,500.0
2017-2018,Feb,2018,Mississippi,981640.41,4666734.72,4540218.61,106828.97,19687.14
2017-2018,Feb,2018,Missouri,665136.37,2236476.29,2128949.31,88184.15,19342.83
2017-2018,Feb,2018,Montana,0.0,0.0,0.0,0.0,0.0
2017-2018,Feb,2018,Nevada,62472.09,41338.6,40629.46,605.0,104.14
2017-2018,Feb,2018,New England,0.0,0.0,0.0,0.0,0.0
2017-2018,Feb,2018,New Mexico,72679.2,273678.7,268547.5,3426.71,1704.49
2017-2018,Feb,2018,New York,24650.27,83907.12,78855.49,3672.37,1379.26
2017-2018,Feb,2018,North Carolina,806081.96,4635686.49,4495210.41,126333.69,14142.39
2017-2018,Feb,2018,Northwest,79085.24,280849.58,253951.17,25086.98,1811.43
2017-2018,Feb,2018,Ohio,197882.16,383269.28,338019.61,26889.5,18360.17
2017-2018,Feb,2018,Oklahoma,1398264.62,2418482.49,2252136.69,143218.78,23127.02
2017-2018,Feb,2018,Pennsylvania-South Jersey,21190.31,36549.23,34979.22,1108.47,461.54
2017-2018,Feb,2018,Puerto Rico/Virgin Islands,1070.92,0.0,0.0,0.0,0.0
2017-2018,Feb,2018,South Carolina,1008777.79,3288056.16,3175101.45,90680.3,22274.41
2017-2018,Feb,2018,Tennessee,1570492.23,5313523.71,4972188.54,282563.34,58771.83
2017-2018,Feb,2018,Texas - BGCT,1225716.19,4622086.81,4299383.51,256826.41,65876.89
2017-2018,Feb,2018,Texas - SBTC,1787717.98,3261277.78,2968888.03,273391.19,18998.56
2017-2018,Feb,2018,Utah - Idaho,24626.93,116252.3,110567.02,4815.28,870.0
2017-2018,Feb,2018,Virginia - BGAV,27017.5,532176.2,518341.37,12099.19,1735.64
2017-2018,Feb,2018,Virginia - SBCV,359543.44,1058342.42,1027009.83,25247.84,6084.75
2017-2018,Feb,2018,West Virginia,43139.45,114861.35,114314.73,143.76,402.86
2017-2018,Feb,2018,Wyoming,14182.36,55792.75,55624.67,158.08,10.0
2017-2018,Feb,2018,Churches & Individuals,389100.35,258568.51,119157.27,1493.42,137917.82
2017-2018,Mar,2018,Alabama,1425375.03,3338493.68,3158242.08,142086.18,38165.42
2017-2018,Mar,2018,Alaska,15747.95,10476.73,8957.98,1518.75,0.0
2017-2018,Mar,2018,Arizona,87056.04,190836.25,182260.14,7448.61,1127.5
2017-2018,Mar,2018,Arkansas,780381.64,549063.39,489788.53,39745.42,19529.44
2017-2018,Mar,2018,California,192566.37,668123.24,661903.97,5636.2,583.07
2017-2018,Mar,2018,Colorado,0.0,52296.73,52296.73,0.0,0.0
2017-2018,Mar,2018,Dakota,21442.93,78065.54,73960.54,4105.0,0.0
2017-2018,Mar,2018,D. C.,1424.5,3395.17,3395.17,0.0,0.0
2017-2018,Mar,2018,Florida,1227877.05,1194481.07,1104531.58,67766.46,22183.03
2017-2018,Mar,2018,Georgia,1081277.54,2958854.34,2671151.32,86137.85,201565.17
2017-2018,Mar,2018,Hawaii Pacific,0.0,0.0,0.0,0.0,0.0
2017-2018,Mar,2018,Illinois,138316.7,86160.84,80989.57,2663.76,2507.51
2017-2018,Mar,2018,Indiana,69538.54,67461.46,62243.27,4630.54,587.65
2017-2018,Mar,2018,Iowa,47441.36,39214.36,39203.91,0.0,10.45
2017-2018,Mar,2018,Kansas-Nebraska,76511.26,60208.54,46082.95,11615.65,2509.94
2017-2018,Mar,2018,Kentucky,873729.12,1022143.18,965421.18,30602.14,26119.86
2017-2018,Mar,2018,Louisiana,552624.31,475538.26,432406.93,38036.49,5094.84
2017-2018,Mar,2018,Maryland-Delaware,144072.12,121337.27,111010.95,4448.57,5877.75
2017-2018,Mar,2018,Michigan,53920.14,114882.09,104473.72,7169.37,3239.0
2017-2018,Mar,2018,Minnesota-Wisconsin,10374.49,11506.8,11076.55,166.25,264.0
2017-2018,Mar,2018,Mississippi,981640.41,1957805.22,1879927.78,68871.46,9005.98
2017-2018,Mar,2018,Missouri,426753.43,630925.41,579656.84,37944.71,13323.86
2017-2018,Mar,2018,Montana,33157.58,139615.18,129946.86,9189.72,478.6
2017-2018,Mar,2018,Nevada,42104.86,63713.36,62494.86,1143.5,75.0
2017-2018,Mar,2018,New England,27914.09,65189.84,64627.52,470.0,92.32
2017-2018,Mar,2018,New Mexico,46916.66,335190.27,310161.28,23894.43,1134.56
2017-2018,Mar,2018,New York,16979.18,50924.23,49415.85,649.0,859.38
2017-2018,Mar,2018,North Carolina,893687.38,2647770.44,2574226.96,60238.07,13305.41
2017-2018,Mar,2018,Northwest,57708.2,40854.81,34581.74,3562.4,2710.67
2017-2018,Mar,2018,Ohio,213386.22,81855.57,61112.32,16810.92,3932.33
2017-2018,Mar,2018,Oklahoma,970641.89,1369825.8,1252180.16,98072.88,19572.76
2017-2018,Mar,2018,Pennsylvania-South Jersey,20935.18,31635.42,29481.44,1632.0,521.98
2017-2018,Mar,2018,Puerto Rico/Virgin Islands,0.0,0.0,0.0,0.0,0.0
2017-2018,Mar,2018,South Carolina,954265.87,1960919.42,1796955.94,137770.55,26192.93
2017-2018,Mar,2018,Tennessee,1204318.48,2595477.05,2421687.62,118431.94,55357.49
2017-2018,Mar,2018,Texas - BGCT,778570.96,2919459.63,2738743.87,148458.69,32257.07
2017-2018,Mar,2018,Texas - SBTC,1081075.44,1659968.96,1555413.84,91245.97,13309.15
2017-2018,Mar,2018,Utah - Idaho,13693.13,19846.55,18909.34,490.21,447.0
2017-2018,Mar,2018,Virginia - BGAV,41792.47,407577.01,388775.25,15866.68,2935.08
2017-2018,Mar,2018,Virginia - SBCV,347661.12,241837.27,207338.74,28412.26,6086.27
2017-2018,Mar,2018,West Virginia,33634.35,33706.99,32655.52,682.6,368.87
2017-2018,Mar,2018,Wyoming,8279.02,10782.8,10378.14,41.14,363.52
2017-2018,Mar,2018,Churches & Individuals,439721.6,586146.02,134052.57,21249.02,430844.43
2017-2018,Apr,2018,Alabama,1627833.34,1462228.63,871853.14,545776.46,44599.03
2017-2018,Apr,2018,Alaska,20351.65,25089.11,21036.1,4053.01,0.0
2017-2018,Apr,2018,Arizona,92474.32,57854.6,25394.19,31449.21,1011.2
